tap12-3,1624176952378,52.34043682234838
tap13-4,1054,273.8262297485969
tap14-5,1021,197.3079635759597
tap15-9,940,274.8809638741408
tap19-17,1416,97.7835073711886
tap117-16,879,282.8061953761525
tap116-7,960,223.29309894721035
tap17-4,1115,293.08446002940934
tap14-10,973,124.07087558183102
tap110-2,953,286.0744653397337
tap12-11,933,204.19269391794657
tap111-4,858,277.02031064506156
tap14-18,877,200.9051343294851
tap118-2,869,424.92654062114366
tap12-19,846,368.8214351919026
tap119-13,833,424.20122336959014
tap113-6,1013,660.8832412016939
tap16-12,884,264.95009952966507
tap112-8,1598,211.87565528052272
tap18-19,819,285.8748934676356
tap119-22,934,485.70379613623385
tap122-18,909,267.54454906448035
tap118-23,804,176.09816728975494
tap123-14,891,280.4176410795248
tap114-11,1479,989.8555566568662
tap111-10,868,296.6672102937817
tap110-15,795,212.10411870035497
tap115-17,861,274.7733253918838
tap117-20,804,687.498429246498
tap120-21,783,282.5608743276523
tap121-16,716,229.05003626671487
tap116-9,873,309.11566725354766
tap19-8,715,161.5071482281794
tap18-6,729,247.630994854653
tap16-7,727,191.26284974457275
tap17-24,713,279.0246794742608
tap124-26,850,582.7128427295017
tap126-27,784,292.58610945726036
tap127-25,732,213.71254530353838
tap125-66,752,285.9407663804313
tap166-41,923,985.4901743166738
tap141-42,734,320.30682698113685
tap142-65,715,204.39652519402867
tap165-36,661,277.9830137638561
tap136-38,812,529.5947394476659
tap138-39,735,306.54301479618914
tap139-37,751,191.4899982237334
tap137-16,697,286.077024721243
tap116-56,704,250.45736495189226
tap156-20,856,248.4670713321031
tap120-53,822,167.5329563926278
tap153-59,788,266.50746497905493
tap159-30,1192,733.4540923866812
tap130-29,771,269.49612866210714
tap129-60,869,209.03014207178842
tap160-33,751,291.9729157187163
tap133-62,753,242.21131527714886
tap162-61,780,306.7182342690445
tap161-34,767,223.97640107701662
tap134-6,891,298.1326648784732
tap16-48,789,308.8306951264872
tap148-12,924,290.8317822487715
tap112-49,738,207.82925199782588
tap149-51,792,291.01485066471594
tap151-2,752,277.782958984375
tap12-5,726,267.63867170524827
tap15-50,750,207.3476416171086
tap150-37,1015,252.93643995449497
tap137-64,782,294.45102943070617
tap164-38,820,272.7739621637569
tap138-63,707,228.85913014088737
tap163-29,660,288.1456029883155
tap129-31,931,452.2122345230092
tap131-28,771,289.65813252826905
tap128-30,795,206.38348136384704
tap130-42,687,305.1504459738875
tap142-40,965,647.6242687978078
tap140-41,811,267.0099248699027
tap141-43,666,182.60649204738579
tap143-45,771,239.81704289082356
tap145-82,637,87.21266338247962
tap182-80,748,264.2283113332343
tap180-44,727,190.75864525620813
tap144-57,675,256.6753419628501
tap157-26,1616,881.337855080527
tap126-58,770,263.5138637663477
tap158-25,733,182.0796157417375
tap125-64,780,288.54149526483127
tap164-44,845,731.6724858848465
tap144-38,743,278.52062763056483
tap138-67,605,206.89863644222797
tap167-9,715,285.5784034390636
tap19-53,805,480.1515200821287
tap153-16,749,286.077024721243
tap116-52,664,191.7987869197895
tap152-74,790,272.6603300708681
tap174-17,1051,564.2199089504333
tap117-75,763,264.88487075820603
tap175-7,822,212.9883571962298
tap17-38,726,280.46371439108566
tap138-45,722,203.8912146410626
tap145-44,768,286.10761203625935
tap144-39,685,195.73071516734007
tap139-14,730,244.50013153363102
tap114-47,1552,688.2295938318966
tap147-46,779,284.1150175779205
tap146-10,789,191.91509158274624
tap110-22,680,286.06832797169824
tap122-86,844,762.5149374377565
tap186-55,854,273.9491905170556
tap155-88,679,199.88378831657664
tap188-70,1493,266.4083582766601
tap170-8,1175,1106.9419809444864
tap18-13,659,255.15975159305728
tap113-71,718,192.85192028085967
tap171-78,684,279.9459046957835
tap178-83,896,573.5831750018748
tap183-21,717,286.89146689874303
tap121-85,604,184.20503892380975
tap185-19,697,244.0648487608131
tap119-77,673,309.9557013235315
tap177-76,637,231.82949856051846
tap176-23,586,160.67148672834801
tap123-15,706,233.82321463917577
tap115-69,1618,965.5950471960049
tap169-11,787,268.39305669983474
tap111-68,674,166.91501877196887
tap168-21,724,240.36528108086955
tap121-75,813,889.8888109843261
tap175-17,620,302.94797481948336
tap117-78,689,218.88108005956303
tap178-54,1408,275.5027818872284
tap154-22,756,571.4964449835381
tap122-18,678,234.52036402020929
tap118-55,644,155.88143356064163
tap155-4,723,246.22066117765877
tap14-73,752,679.2023277188661
tap173-72,651,280.4372917699023
tap172-3,634,179.95926876520934
tap13-90,663,281.4133734305123
tap190-77,768,549.701250607313
tap177-23,704,281.4133591126258
tap123-92,626,211.72721389998304
tap192-67,1419,290.3295630281454
tap167-82,623,297.1516149574018
tap182-84,695,251.16295394107294
tap184-44,649,196.15872437384297
tap144-38,702,264.7043941135147
tap138-45,738,210.95117777274893
tap145-44,777,279.00496403669047
tap144-39,651,179.85029201902944
tap139-42,714,252.16407833878063
tap142-87,633,319.9477776201417
tap187-89,873,276.3261347325581
tap189-43,729,211.07548316925596
tap143-42,711,259.34812630505536
tap142-91,618,156.9859119937411
tap191-89,731,278.4677628278492
tap189-66,667,184.8109515890908
